t,demand
7,914,789.10
7,924,385.90
7,934,157.10
7,943,978.70
7,953,848.20
7,963,764.90
7,973,742.60
7,983,687.40
7,994,106
8,004,372
8,014,722.90
8,025,507.80
8,035,690.40
8,045,524.70
8,055,490.70
8,065,695.60
8,075,760
8,085,619.10
8,095,587.70
8,106,272.60
8,116,301
8,126,087.10
8,135,944
8,145,609.20
8,155,148.20
8,164,812.80
8,174,562.80
8,184,374.70
8,194,226.30
8,203,991.10
8,213,777.80
8,223,732.60
8,234,100.30
8,244,605
8,255,024.30
8,265,278.20
8,275,405
8,285,129.90
8,295,068
8,305,073.50
8,315,136.50
8,325,137.20
8,335,151
8,345,840.50
8,356,038.90
8,366,152.80
8,376,021.80
8,385,585.80
8,395,092.30
8,404,699.10
8,414,413
8,424,202.20
8,433,966.60
8,443,836.60
8,453,838.80
8,463,917.10
8,474,614.50
8,485,309
8,495,557.90
8,505,863.90
8,516,240.40
8,525,698.90
8,536,119.70
8,546,916.20
8,556,774.50
8,566,144.40
8,576,047.90
8,586,272.90
8,596,076.30
8,605,904.60
8,615,646.60
8,625,192.70
8,634,645.50
8,644,268
8,654,075.80
8,663,939.80
8,673,815.20
8,683,711.20
8,693,870.90
8,704,060.50
8,714,818.10
8,725,387.20
8,735,653.90
8,745,847.60
8,756,105.50
8,765,625
8,775,975.10
8,786,748.10
8,796,987.60
8,806,708.20
8,816,587.30
8,826,702.50
8,836,390
8,845,951.30
8,855,652.40
8,865,166.70
8,874,585.70
8,884,213.10
8,894,012.50
8,903,892.70
8,913,800.90
8,923,670.90
8,933,803.60
8,944,029.70
8,954,782.10
8,965,317.60
8,975,581.50
8,985,928.90
8,996,124.20
9,005,513.20
9,015,886.40
9,026,733.70
9,036,907
9,046,788.80
9,056,532
9,066,676.70
9,076,547
9,086,361
9,096,058.50
9,105,606.80
9,114,987.90
9,124,583.20
9,134,346.80
9,144,205.70
9,154,018.30
9,163,905.40
9,174,018.70
9,184,204.80
9,194,926.60
9,205,673.50
9,216,246.70
9,226,638.20
9,236,791.80
9,245,966.40
9,256,089.20
9,266,131.50
9,276,558.20
9,286,307.20
9,296,218.80
9,306,451.20
9,316,271.40
9,326,075.50
9,335,843.60
9,345,361.20
9,354,800.30
9,364,399.50
9,374,167.70
9,384,012.70
9,393,901.80
9,403,850.80
9,413,285.10
9,422,853.20
9,434,051.20
9,445,832.40
9,456,264.40
9,466,522.60
9,476,564.90
9,486,122.60
9,496,472.50
9,506,368.60
9,516,367.90
9,526,235.90
9,535,876.40
9,546,054.80
9,556,147.40
9,566,141.90
9,575,913.90
9,585,445.30
9,594,941.60
9,604,560.70
9,614,291.30
9,624,119.80
9,633,964.10
9,643,828
9,653,716.10
9,663,862.10
9,674,439.20
9,685,094.30
9,695,708.60
9,706,066.80
9,716,345.90
9,725,772.40
9,735,154.70
9,745,280.80
9,755,358.60
9,765,316.50
9,775,349
9,786,003.90
9,795,939
9,805,828.60
9,815,611.80
9,824,987.80
9,834,415.50
9,844,147.60
9,853,962.70
9,863,889.30
9,873,681.10
9,883,603
9,893,470.40
9,903,348.90
9,913,637.30
9,923,955
9,934,250.30
9,944,369.30
9,954,489.70
9,964,601.10
9,974,653.80
9,984,709
9,994,892.20
10,004,893
10,014,840.40
10,025,496
10,035,650.20
10,045,640.10
10,055,299
10,064,771.30
10,074,315.80
10,084,030
10,093,834.60
10,103,699.20
10,113,602.40
10,123,502.30
10,133,612.70
10,143,739.30
10,154,442.40
10,165,331.50
10,175,826.90
10,186,294.70
10,196,625.90
10,206,012.80
10,216,247.80
10,227,102.10
10,236,990.40
10,246,875.80
10,256,528.60
10,266,627
10,276,546.40
10,286,420.50
10,296,202.80
10,305,617.70
10,314,961.90
10,324,494.40
10,334,188.70
10,343,981
10,353,879.70
10,363,820.20
10,373,867.90
10,383,914.80
10,394,730.90
10,405,375.70
10,415,805.40
10,425,908.20
10,435,882.40
10,445,268.80
10,455,248.20
10,465,721.40
10,475,910.90
10,485,648.90
10,495,499.60
10,505,729.80
10,515,622.50
10,525,441.20
10,535,208.50
10,544,736.80
10,554,244.20
10,563,906.30
10,573,716.90
10,583,618.10
10,593,548.20
10,603,502.80
10,613,652.90
10,623,842.10
10,634,467.60
10,645,094.20
10,655,466.80
10,665,843.80
10,675,989
10,685,431.40
10,695,480.20
10,705,387.60
10,715,752.50
10,725,869.80
10,735,677.20
10,745,922.30
10,755,815.40
10,765,667.80
10,775,394
10,784,911.20
10,794,387
10,804,043.80
10,813,807
10,823,713.90
10,833,585
10,843,518.20
10,853,662.90
10,863,827
10,874,440.90
10,884,783.30
10,894,820.70
10,904,797.90
10,914,760.40
10,924,319.10
10,934,335.70
10,944,822.20
10,955,090.20
10,965,058.60
10,974,930.10
10,985,335.30
10,995,302.80
11,005,160.10
11,014,981.80
11,024,456.50
11,033,902.10
11,043,597.70
11,053,432.30
11,063,302.40
11,073,201.80
11,083,172
11,093,312.20
11,103,560.40
11,114,150.10
11,124,935.10
11,135,443.10
11,145,623.90
11,155,779.20
11,165,219.70
11,175,264.30
11,185,616.80
11,196,019.30
11,206,073.60
11,215,670.60
11,225,937.90
11,235,887.60
11,245,701.80
11,255,432.70
11,265,005.60
11,274,467.50
11,284,119.40
11,293,888.90
11,303,694.80
11,313,568.40
11,323,419.90
11,333,355.90
11,343,485.80
11,354,045.90
11,364,322.10
11,374,712.90
11,385,360.30
11,395,583.70
11,405,344.50
11,415,324.40
11,425,773.40
11,435,788.90
11,445,575.60
11,455,360.90
11,465,989.10
11,475,945
11,485,713
11,495,531.90
11,505,018.50
11,514,618
11,524,330.80
11,534,058.60
11,543,902.50
11,553,704.20
11,563,576.20
11,573,437.30
11,583,261.10
11,593,522.70
11,603,875.70
11,614,097.40
11,623,910.60
11,634,105.60
11,644,069.50
11,654,026
11,664,096.10
11,674,178.40
11,684,243.30
11,694,294.60
11,705,013.60
11,715,274.60
11,725,206.10
11,734,923.10
11,744,457.50
11,754,029.90
11,763,771.30
11,773,572.40
11,783,442.80
11,793,371.70
11,803,291.40
11,813,399.50
11,823,525.30
11,834,333.90
11,845,072.20
11,855,226.20
11,865,451.70
11,875,684.60
11,885,313.80
11,895,788.30
11,906,392.40
11,916,354
11,926,239.40
11,935,948.50
11,946,104.50
11,955,920.10
11,965,746.40
11,975,494.60
11,984,988.90
11,994,341.50
12,003,961.10
12,013,758.90
12,023,673.90
12,033,580.30
12,043,516.50
12,053,642.60
12,063,783.30
12,074,549.30
12,085,036.90
12,095,288.50
12,105,436.80
12,115,681.10
12,125,364.30
12,135,648.60
12,146,182.10
12,155,943.70
12,165,816.40
12,175,688.10
12,185,859.60
12,195,670
12,205,482
12,215,261.20
12,224,785.60
12,234,250.60
12,243,864.90
12,253,705.10
12,263,600.50
12,273,510.80
12,283,404.60
12,293,527.10
12,303,738
12,314,508.30
12,325,196.70
12,335,615.30
12,345,960.80
12,355,903.50
12,365,365.70
12,375,694.40
12,386,777.20
12,396,881.10
12,406,608.40
12,416,382.40
12,426,596.50
12,436,138
12,445,928.10
12,455,680.30
12,465,173
12,474,658.10
12,484,274.30
12,494,020
12,503,857
12,513,732.10
12,523,662.10
12,533,460.10
12,543,193.50
12,553,711.10
12,565,117.10
12,575,937.90
12,586,255.10
12,596,371.10
12,605,582.20
12,613,352.50
12,624,576.40
12,635,715
12,645,900.40
12,655,957.90
12,666,273.70
12,676,084.60
12,685,890.30
12,695,620.40
12,705,083.40
12,714,599.60
12,724,225.70
12,733,955.10
12,743,804.60
12,753,714.30
12,763,651.80
12,773,569.20
12,783,888.40
12,794,544.40
12,805,192.60
12,815,676.30
12,825,883.60
12,836,106.20
12,845,506.70
12,855,457.90
12,865,766.60
12,875,868.30
12,885,696.30
12,895,656.80
12,905,846.50
12,915,638.40
12,925,470.40
12,935,236
12,944,523.50
12,954,085.80
12,963,810.60
12,973,620.40
12,983,434.80
12,993,266.40
13,003,175.60
13,013,147.60
13,023,189.30
13,033,699.50
13,044,232.80
13,054,590.30
13,064,899.40
13,075,105.40
13,084,887.60
13,094,936.50
13,105,292.90
13,115,437.50
13,125,413.30
13,135,371.20
13,145,933.30
13,155,864.20
13,165,754.70
13,175,587.60
13,185,235.30
13,194,831.20
13,204,486.30
13,214,271.70
13,224,105.80
13,233,965.50
13,243,687.80
13,253,596.70
13,263,414.30
13,273,676.30
13,283,983.70
13,294,285.60
13,304,391.70
13,314,595.40
13,324,534.50
13,334,502.50
13,344,476.60
13,354,558.50
13,364,590.60
13,374,656.80
13,385,437.60
13,395,517.70
13,405,563
13,415,346.40
13,424,848.20
13,434,108.30
13,443,792
13,453,624.60
13,463,502.40
13,473,435.80
13,483,363.50
13,493,439.40
13,503,485.60
13,514,030.60
13,524,601.30
13,534,715.20
13,544,739.10
13,554,779
13,564,380.90
13,574,472.90
13,584,999.70
13,595,353
13,605,263.50
13,615,140.10
13,625,416.20
13,635,354
13,645,142.20
13,654,841
13,664,352.60
13,673,860.60
13,683,523.50
13,693,369.10
13,703,224
13,713,094
13,723,105.50
13,733,246.70
13,743,448.40
13,754,117.90
13,764,948.20
13,775,408.60
13,785,662.10
13,795,690.40
13,805,273.20
13,815,504.20
13,826,336.10
13,836,617.60
13,846,523.10
13,856,307.70
13,866,421.90
13,876,168.20
13,885,938.70
13,895,649.20
13,905,126
13,914,553.70
13,924,149.80
13,933,918.80
13,943,784.40
13,953,642.60
13,963,570.10
13,973,606.70
13,983,834.30
13,994,713.50
14,005,495.80
14,015,879.50
14,026,248.20
14,036,598.80
14,046,038.70
14,056,349.10
14,066,955.20
14,077,025.50
14,086,763.30
14,096,412.20
14,106,585
14,116,334.40
14,126,168.70
14,135,924.80
14,145,390.50
14,154,796.60
14,164,381
14,174,122.10
14,183,973.80
14,193,880.60
14,203,799.70
14,213,800.70
14,223,903.90
14,234,808.50
14,245,649.40
14,256,164.10
14,266,551.20
14,276,640.80
14,286,033
14,296,404
14,307,125
14,317,180.60
14,327,014.80
14,336,837.30
14,346,755.30
14,356,463.70
14,366,224.20
14,375,943.20
14,385,427.20
14,394,869.40
14,404,401.80
14,414,156.80
14,424,006.80
14,433,901.80
14,443,809
14,453,861.90
14,463,808.70
14,474,413.60
14,485,181.30
14,495,347.70
14,505,594
14,515,779.60
14,525,439.40
14,535,779.60
14,546,592.10
14,556,721
14,566,518.80
14,576,277.40
14,586,445.80
14,596,237.70
14,606,053.20
14,615,875.10
14,625,492.10
14,635,018.30
14,644,613
14,654,327.60
14,664,117.30
14,673,915.40
14,683,785
14,693,105.50
14,702,129.60
14,712,427.10
14,722,713.60
14,733,041.80
14,744,413.60
14,755,855.50
14,765,637.10
14,775,387.60
14,785,758.30
14,795,948.60
14,805,810.40
14,815,736.70
14,826,258.60
14,836,138.90
14,846,018.70
14,855,798.50
14,865,398
14,874,945
14,884,638.80
14,894,397.10
14,904,207.90
14,914,049.90
14,923,860.80
14,933,713.50
14,943,637.50
14,953,961.60
14,964,441.70
14,974,820.40
14,984,864.80
14,995,132
15,005,050.30
15,014,731.20
15,024,729.90
15,034,703.80
15,044,657.60
15,054,705.70
15,065,482.70
15,075,596.90
15,085,603.20
15,095,463.10
15,105,027
15,114,569.90
15,124,234.10
15,134,035.20
15,143,890.40
15,153,812.20
15,163,711.90
15,173,745.40
15,183,908
15,194,606.80
15,205,395.20
15,215,964.80
15,226,473.50
15,236,670.60
15,245,903.60
15,256,187.90
15,266,840
15,276,892.70
15,286,819
15,296,691.90
15,306,889.40
15,316,654.40
15,326,512.10
15,336,290.10
15,345,783
15,355,044.20
15,364,622.60
15,374,362.50
15,384,180.40
15,394,064.90
15,403,912.80
15,413,955.80
15,424,105
15,434,723.60
15,445,359.20
15,455,887.70
15,466,203.50
15,475,736.80
15,484,862.60
15,494,757.80
15,505,257.30
15,515,456.80
15,525,475
15,535,409.50
15,545,793.40
15,555,755.30
15,565,560.90
15,575,233.90
15,584,738.80
15,594,250.30
15,603,909.60
15,613,692.60
15,623,564.90
15,633,522.20
15,643,465.60
15,653,606.10
15,663,864.80
15,674,505.60
15,685,285
15,695,707.90
15,706,107.60
15,716,293.70
15,725,716.10
15,735,851.70
15,746,327.90
15,756,630.60
15,766,621.80
15,776,326.60
15,786,584.70
15,796,436.20
15,806,272.70
15,816,024.80
15,825,446.30
15,834,711.50
15,844,257.90
15,854,027.70
15,863,868.90
15,873,735.60
15,883,641.20
15,893,631.60
15,903,769
15,914,227
15,924,970.70
15,935,175.40
15,945,225.30
15,955,244.80
15,964,842.70
15,974,908.20
15,985,637.20
15,995,998.70
16,005,929.40
16,015,821.90
16,026,166.50
16,036,050.20
16,045,999.40
16,055,791.90
16,065,258.10
16,074,715.30
16,084,340.50
16,094,060.90
16,103,932.40
16,113,830.60
16,123,647.50
16,133,774.40
16,143,929.90
16,154,781.90
16,165,665.70
16,176,139.90
16,186,251.40
16,196,250.70
16,205,804.60
16,215,716
16,226,226.20
16,236,507.30
16,246,331.90
16,255,974.10
16,266,088.10
16,276,047.10
16,286,025.20
16,295,843.40
16,305,442.30
16,314,920.10
16,324,515.90
16,334,263.80
16,344,018.90
16,353,913.50
16,363,730.10
16,373,750.10
16,383,746.80
16,393,795.80
16,404,403.40
16,414,788.40
16,424,912.20
16,435,039.70
16,444,889.50
16,454,786.60
16,465,081.20
16,475,117.30
16,485,108.30
16,495,284.90
16,505,910.50
16,515,826.40
16,525,696.10
16,535,571.90
16,545,202.60
16,554,789
16,564,442.30
16,574,214.40
16,583,852
16,593,538
16,603,475.40
16,613,403
16,623,376.70
16,633,705.80
16,644,149.60
16,654,603.40
16,664,867.60
16,674,893.50
16,684,609.20
16,694,645.60
16,704,851.50
16,714,943.40
16,724,961
16,735,095.70
16,745,782
16,755,857.30
16,765,888.90
16,775,726.40
16,785,384.50
16,794,894.60
16,804,546.30
16,814,305.70
16,824,135.10
16,834,040.10
16,843,894.60
16,853,860.80
16,863,659.90
16,874,284.60
16,886,106.30
16,893,787
16,906,588.90
16,916,948.20
16,926,341.30
16,936,515.30
16,947,282.60
16,957,526.80
16,967,364.90
16,976,992.80
16,987,274.80
16,997,028.20
17,006,893.40
17,016,618.50
17,026,034.20
17,035,366.80
17,044,911.60
17,054,606.80
17,064,427.50
17,074,289.80
17,084,094.10
17,094,096.80
17,103,484.20
17,115,214.10
17,126,134.80
17,136,560.20
17,146,855.60
17,156,926
17,166,312.50
17,176,563
17,187,133.60
17,197,278.30
17,207,123.20
17,215,490
17,226,934.80
17,236,729.90
17,246,682.30
17,256,494
17,265,813
17,275,122
17,284,667.60
17,294,455.70
17,304,298.60
17,314,172.10
17,323,960
17,333,973
17,344,250
17,355,012.70
17,365,901.40
17,376,425.90
17,386,529.30
17,396,753.80
17,406,197.60
17,416,520.90
17,427,200.60
17,436,983.20
17,446,912.40
17,456,900.70
17,467,354.70
17,476,908.80
17,486,805
17,496,473.80
17,505,978.20
17,515,414.10
17,524,977.40
17,534,693.90
17,544,488.20
17,554,364.60
17,564,109.90
17,574,101.10
17,584,297.80
17,595,236.20
17,606,076.50
17,616,595.20
17,626,867.90
17,636,899.10
17,646,300.90
17,656,597.10
17,667,295.30
17,677,382.50
17,687,192.30
17,697,148.20
17,707,294.70
17,717,022.10
17,726,894.70
17,736,652.10
17,746,108.50
17,755,519.40
17,765,095.90
17,774,806.80
17,784,621.10
17,794,454.50
17,804,345
17,813,678.30
17,823,110.20
17,833,947.40
17,844,916.10
17,855,684.20
17,865,913.60
17,877,039.40
17,886,471.10
17,896,930.20
17,907,609
17,917,659.40
17,927,406.90
17,937,063.60
17,947,195.80
17,956,884.90
17,966,725
17,976,492.10
17,985,988.30
17,995,419.20
18,004,988.80
18,014,654.50
18,024,529.30
18,034,329.90
18,044,080.80
18,053,960.60
18,064,077.90
18,074,548.30
18,085,378.10
18,095,883.70
18,105,985.30
18,116,109.80
18,125,860.70
18,135,829.20
18,145,858.70
18,155,314.30
18,165,302.80
18,175,345
18,186,067.70
